"","screen_name","user_id","status_id","created_at","text","Drought","...1","supplier_name","public_water_system_id","county","hydrologic_region","climate_zone","total_population_served","reference_2014_population","Water System Name","Water System Classification","Water System Ownership","Physical location City","Physical location Zip","Website URL","wdist_id","Website","District Governance Type(special district, for-profit, or city)","Old Twitter handle","Twitter handle"
"1","CityofBenicia",30895301,1.0904e+18,"1/30/19 0:04","Planned PG&amp;E Service Interruption on Tuesday, February 5
The City of Benicia has received a notice from PG&amp;E of a planned electric service interruption to replace a power pole at West I and 8th St:

Tuesday, February... https://t.co/GUcnaQmnoA",0,158,"Benicia  City of","CA4810001","Solano","San Francisco Bay",12,28086,28086,"CITY OF BENICIA",NA,"Local Government","BENICIA","94510-1036","www.ci.benicia.ca.us",NA,NA,"city",NA,"@CityofBenicia"
"2","CityofBenicia",30895301,5.43e+17,"1418327801","Storm Update: The National Weather Service has indicated that the heavy band of rain has moved past our area.... http://t.co/qJJsMSDtwi",0,158,"Benicia  City of","CA4810001","Solano","San Francisco Bay",12,28086,28086,"CITY OF BENICIA",NA,"Local Government","BENICIA","94510-1036","www.ci.benicia.ca.us",NA,NA,"city",NA,"@CityofBenicia"
"3","CityofBenicia",30895301,1.3639e+18,"2/22/21 17:21","02/22/21 City of Benicia This Week:
Message from the City Manager, Shop Benicia BONUS eGift Cards Expiring, COVID Vaccine Update, Take the Hazard Mitigation Survey, Survivability Rate Raised in Benicia Cardiac Arrest Patients, COVID Assistance and more at https://t.co/3WadB5zw3N. https://t.co/OIiLNgtd2G",0,158,"Benicia  City of","CA4810001","Solano","San Francisco Bay",12,28086,28086,"CITY OF BENICIA",NA,"Local Government","BENICIA","94510-1036","www.ci.benicia.ca.us",NA,NA,"city",NA,"@CityofBenicia"
"4","CityofBenicia",30895301,9.42646e+17,"12/18/17 6:40","12/17/17: City of Benicia This Week
The latest edition of City of Benicia This Week has been posted at... https://t.co/QV8n8SNIM8",0,158,"Benicia  City of","CA4810001","Solano","San Francisco Bay",12,28086,28086,"CITY OF BENICIA",NA,"Local Government","BENICIA","94510-1036","www.ci.benicia.ca.us",NA,NA,"city",NA,"@CityofBenicia"
"5","CityofBenicia",30895301,7.41428e+17,"6/11/16 0:35","Here's the latest edition of the CITY MANAGER'S REPORT by City Manager Brad Kilger. It's full of information on... https://t.co/VJbEuVnAl7",0,158,"Benicia  City of","CA4810001","Solano","San Francisco Bay",12,28086,28086,"CITY OF BENICIA",NA,"Local Government","BENICIA","94510-1036","www.ci.benicia.ca.us",NA,NA,"city",NA,"@CityofBenicia"
"6","CityofBenicia",30895301,8.48e+17,"1490914818","Public Hearing and Review Set for Benicia Industrial Park Transportation and Employment Center Plan - 

CITY OF... https://t.co/AvT8M72mKA",0,158,"Benicia  City of","CA4810001","Solano","San Francisco Bay",12,28086,28086,"CITY OF BENICIA",NA,"Local Government","BENICIA","94510-1036","www.ci.benicia.ca.us",NA,NA,"city",NA,"@CityofBenicia"
"7","CityofBenicia",30895301,1.01529e+18,"7/6/18 17:35","You can visit the cemetery on Wednesdays, Saturdays and Sundays. Take Military East to Hospital Road to Buchanan, then follow the signs. https://t.co/kgNiOU9hnm",0,158,"Benicia  City of","CA4810001","Solano","San Francisco Bay",12,28086,28086,"CITY OF BENICIA",NA,"Local Government","BENICIA","94510-1036","www.ci.benicia.ca.us",NA,NA,"city",NA,"@CityofBenicia"
"8","CityofBenicia",30895301,9.05492e+17,"9/6/17 18:04","It's the first Wednesday of the month and our alert system is being tested. Have you signed up? Sign up today at... https://t.co/Q3TzzNPdUy",0,158,"Benicia  City of","CA4810001","Solano","San Francisco Bay",12,28086,28086,"CITY OF BENICIA",NA,"Local Government","BENICIA","94510-1036","www.ci.benicia.ca.us",NA,NA,"city",NA,"@CityofBenicia"
"9","CityofBenicia",30895301,8.05972e+17,"12/6/16 3:08","Our hearts go out to the friends and families of those lost in this weekend’s terrible fire in Oakland. This fire... https://t.co/JGwZVSctJM",0,158,"Benicia  City of","CA4810001","Solano","San Francisco Bay",12,28086,28086,"CITY OF BENICIA",NA,"Local Government","BENICIA","94510-1036","www.ci.benicia.ca.us",NA,NA,"city",NA,"@CityofBenicia"
"10","CityofBenicia",30895301,7.90569e+17,"10/24/16 15:00","Today is the last day to register to vote in the November 8 election.
Are you passionate about something? You... https://t.co/Or38KdEOr6",0,158,"Benicia  City of","CA4810001","Solano","San Francisco Bay",12,28086,28086,"CITY OF BENICIA",NA,"Local Government","BENICIA","94510-1036","www.ci.benicia.ca.us",NA,NA,"city",NA,"@CityofBenicia"
"11","CityofBenicia",30895301,9.60377e+17,"2/5/18 4:59","02/04/18: City of Benicia This Week
Spotlight on IT, Annual Trivia Bee Returns, Free Tax Help, Meet Your Local... https://t.co/toh8jXt9iU",0,158,"Benicia  City of","CA4810001","Solano","San Francisco Bay",12,28086,28086,"CITY OF BENICIA",NA,"Local Government","BENICIA","94510-1036","www.ci.benicia.ca.us",NA,NA,"city",NA,"@CityofBenicia"
"12","CityofBenicia",30895301,6.25e+17,"1437772553","Interstate 680 - Caltrans Rehabilitation Project: Friday, July 24 until Friday, July 31 crews are scheduled to... http://t.co/RBToa3O2HO",0,158,"Benicia  City of","CA4810001","Solano","San Francisco Bay",12,28086,28086,"CITY OF BENICIA",NA,"Local Government","BENICIA","94510-1036","www.ci.benicia.ca.us",NA,NA,"city",NA,"@CityofBenicia"
"13","CityofBenicia",30895301,9.18e+17,"1507654248","*Update* - Napa/Sonoma Fires

We continue to work closely with the Solano County Office of Emergency Services,... https://t.co/t7p5F7lPgu",0,158,"Benicia  City of","CA4810001","Solano","San Francisco Bay",12,28086,28086,"CITY OF BENICIA",NA,"Local Government","BENICIA","94510-1036","www.ci.benicia.ca.us",NA,NA,"city",NA,"@CityofBenicia"
"14","CityofBenicia",30895301,1.51365e+18,"4/11/22 23:04","City of Benicia Media Update for 04/11/22:
Today, Valero and Amports are conducting engineering assessments and creating reports for submittal to the US Coast Guard, California State Lands Commission and the City of Benicia. Read today's update at https://t.co/j3MA7yRISo. https://t.co/jIPrkSDSWA",0,158,"Benicia  City of","CA4810001","Solano","San Francisco Bay",12,28086,28086,"CITY OF BENICIA",NA,"Local Government","BENICIA","94510-1036","www.ci.benicia.ca.us",NA,NA,"city",NA,"@CityofBenicia"
"15","CityofBenicia",30895301,8.11e+17,"1482163239","Take my tree, please!
Looking to get rid of your live Christmas tree after the holiday? The local Boy Scouts have... https://t.co/Lv1hHrrxDZ",0,158,"Benicia  City of","CA4810001","Solano","San Francisco Bay",12,28086,28086,"CITY OF BENICIA",NA,"Local Government","BENICIA","94510-1036","www.ci.benicia.ca.us",NA,NA,"city",NA,"@CityofBenicia"
"16","CityofBenicia",30895301,1.51609e+18,"4/18/22 16:38","04/18/22 City of Benicia This Week. Message from the City Manager, Parks, Trails, and Open Space Master Plan Virtual Workshop, Yard Waste and Weed Clean-up Weekend, Video Tutorials Available for Online Permit Center, Speedy Solar Permitting in Benicia at https://t.co/ZGd5KpIv1A. https://t.co/y75TD9e1IE",0,158,"Benicia  City of","CA4810001","Solano","San Francisco Bay",12,28086,28086,"CITY OF BENICIA",NA,"Local Government","BENICIA","94510-1036","www.ci.benicia.ca.us",NA,NA,"city",NA,"@CityofBenicia"
"17","CityofBenicia",30895301,8.38e+17,"1488556804","Smoking in Parks Prohibition to be Considered:  The Benicia City Council will consider a proposal to prohibit... https://t.co/Pzg8cQeXTd",0,158,"Benicia  City of","CA4810001","Solano","San Francisco Bay",12,28086,28086,"CITY OF BENICIA",NA,"Local Government","BENICIA","94510-1036","www.ci.benicia.ca.us",NA,NA,"city",NA,"@CityofBenicia"
"18","CityofBenicia",30895301,1.40486e+18,"6/15/21 17:45","Extreme Heat Warning - Thurs thru Sat nite:
An Extreme Heat Warning has been issued for Solano County due to dangerously hot conditions.  Extreme heat will significantly increase the potential for heat-related illnesses. Take precautions. https://t.co/E30VRYGobl",0,158,"Benicia  City of","CA4810001","Solano","San Francisco Bay",12,28086,28086,"CITY OF BENICIA",NA,"Local Government","BENICIA","94510-1036","www.ci.benicia.ca.us",NA,NA,"city",NA,"@CityofBenicia"
"19","CityofBenicia",30895301,8.61e+17,"1494004172","10:00 AM Update: Situation remains the same. Shelter in place remains only at Matthew Turner and Robert Semple... https://t.co/SFQqPVT44q",0,158,"Benicia  City of","CA4810001","Solano","San Francisco Bay",12,28086,28086,"CITY OF BENICIA",NA,"Local Government","BENICIA","94510-1036","www.ci.benicia.ca.us",NA,NA,"city",NA,"@CityofBenicia"
"20","CityofBenicia",30895301,1.10558e+18,"3/12/19 21:37","https://t.co/iYNL1owyNS",0,158,"Benicia  City of","CA4810001","Solano","San Francisco Bay",12,28086,28086,"CITY OF BENICIA",NA,"Local Government","BENICIA","94510-1036","www.ci.benicia.ca.us",NA,NA,"city",NA,"@CityofBenicia"
"21","CityofBenicia",30895301,1.43076e+18,"8/26/21 5:20","Press Release: City of Benicia Takes Action to Require Face Coverings in Indoor Public Places
https://t.co/vczTeRltmK https://t.co/Mk9beYfD3f",0,158,"Benicia  City of","CA4810001","Solano","San Francisco Bay",12,28086,28086,"CITY OF BENICIA",NA,"Local Government","BENICIA","94510-1036","www.ci.benicia.ca.us",NA,NA,"city",NA,"@CityofBenicia"
"22","CityofBenicia",30895301,1.51981e+18,"4/28/22 22:27","PG&amp;E will begin conducting aerial safety patrols of natural gas transmission pipelines in Napa &amp; Solano counties Friday, April 29, through next week.

More info at https://t.co/vHy8HvHHuL https://t.co/BwdHzblbUU",0,158,"Benicia  City of","CA4810001","Solano","San Francisco Bay",12,28086,28086,"CITY OF BENICIA",NA,"Local Government","BENICIA","94510-1036","www.ci.benicia.ca.us",NA,NA,"city",NA,"@CityofBenicia"
"23","CityofBenicia",30895301,7.33e+17,"1463698852","Update on Notice to Increase Water and Sewer Rates:
In early April, the City mailed a notice regarding the... https://t.co/pWg2fHx8qt",0,158,"Benicia  City of","CA4810001","Solano","San Francisco Bay",12,28086,28086,"CITY OF BENICIA",NA,"Local Government","BENICIA","94510-1036","www.ci.benicia.ca.us",NA,NA,"city",NA,"@CityofBenicia"
