,user_id,status_id,created_at,screen_name,text,Drought
1,932945646,4.60E+17,1398469383,PAUtilities,@PAUtilities View more Greenlight Film &amp; Eco Show pics on Facebook  - PaloAltoUtilities,0
3,34303800,1.41E+17,1322511604,PRCity,Press Release- Road Improvement Construction Work Has Begun http://t.co/n9PTqgr1,0
6,932945646,7.83E+17,1475605864,PAUtilities,We're receiving reports of scammers posing as the Utility Department.  Guard yourself against fraudulent calls: https://t.co/H34dQtcK90 https://t.co/BMfRhw4DmA,0
7,2281087598,1.41E+18,1625875503,PlacerWater,https://t.co/OLwy56TsxU,0
8,161468853,1.28E+18,1592937890,COGWaterPower,Power has been restored to customers in South Glendale/Adams Hill. Thank you for your patience! #MyGlendale #GlendalePowerOutage,0
9,41149912,1.10E+18,1551983514,IRWDnews,"Construction update: Groundwater has complicated repairs of the sewer pipeline on Main Street east of MacArthur, where work will continue 24/7 through Saturday. Traffic lanes will reopen on Sunday, in time for next week's commute. Final asphalt repair will be scheduled later.",0
10,1551505850,1.18E+18,1571241185,SanJuanWtrDist,"How are we doing? Your input helps us provide the best customer service possible. Fill out our satisfaction survey today: https://t.co/C3OWVbpJSO
#SanJuanWater https://t.co/8Ydz3n82PL",0
11,602351816,1.18E+18,1571337848,CITYSEM,"#SGVCOG will be hosting another #Twitterchat session on Transportation and Open Streets next Tuesday (10/22) at 12:00pm! We will also chat about the upcoming #626GoldenStreets event in the Cities of El Monte and South El Monte.

Be sure to tune in and join the discussion! https://t.co/9OFfgFcRQc",0
12,2530661071,1.19E+18,1571863229,CityofVallejo,"SOCIAL MEDIA FOR BEGINNERS (VALLEJO)

Date and Time
Wednesday Oct 23, 2019
6:00 PM - 7:30 PM PDT

Location
The Anchor Center
253 Georgia St. ""The Captain's Room""
Vallejo, CA 94590 https://t.co/ULGi6WVC34",0
13,130282081,5.87E+17,1428687257,ElsinoreEddie,Congrats to our 2015 Water Themed Science Project Winners! http://t.co/kJQFWit9b8 http://t.co/dDBaXNIFpD,0
15,34303800,7.71E+17,1472576907,PRCity,Great news! https://t.co/zufA3zTp74,0
16,16262993,1.49E+18,1645039803,LongBeachWater,"Congrats to Mervyn Gold Star employee award recipient Oscar, who has been with LBWD since 2015! From the start, Oscar's work ethic has been second to none supervising his construction crew’s day-to-day activities, ensuring jobs are done in a timely and safe manner. 👏🌟 https://t.co/y0707i8v4x",0
17,3299678121,1.12E+18,1555627193,eastvalleywater,"Have you taken a look at the Sterling Natural Resource Center 3D model? If you haven’t, not to worry. Stop by the SNRC booth at the Community Conservation Fest to see the model and for craft activities. 

For event information, visit https://t.co/wqW5VnTwLn. https://t.co/cJDISjuanD",0
19,117560494,9.06E+17,1504900914,CityOfLomaLinda,"Our Loma Linda Fire Department working hard in preparation for Sunday's September 10th, 9/11 memorial ceremony at 0930 hours. https://t.co/zYvhcHGkOv",0
21,33681341,5.89E+17,1429308209,CityofSunnyvale,"Housing and Human Services Commission Mtg. Action Plan/ConPlan Public Hearings. 4/22, 7pm, City Hall, West Conf Rm. http://t.co/22X1QtCCUt",0
22,2584504255,6.85E+17,1452100171,CityofPismo,@CityofPismo there are still some reports that power is out near Five Cities Drive.,0
23,117560494,7.64E+17,1470961414,CityOfLomaLinda,#BeatTheHeat tip: NEVER leave children or pets unattended in car (even w/ windows down) https://t.co/2bd48j5pXI,0
25,602351816,9.79E+17,1522204856,CITYSEM,Congratulations to Marina Limon on winning the Los Angeles County Library 38th Annual Book Mark Contest.,0
26,385115091,5.22E+17,1413389760,tdpud,Stop by our Conservation office and check out a FREE Watt Meter to find out how much energy that old refrigerator is costing you to run.,0
