"","screen_name","user_id","status_id","created_at","text","Drought","...1","supplier_name","public_water_system_id","county","hydrologic_region","climate_zone","total_population_served","reference_2014_population","Water System Name","Water System Classification","Water System Ownership","Physical location City","Physical location Zip","Website URL","wdist_id","Website","District Governance Type(special district, for-profit, or city)","Old Twitter handle","Twitter handle"
"1","AlamedaCountyWD",921026940,5.78e+17,"1426721465","Agenda: Agenda http://t.co/3C7mAxMOmC",0,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"2","AlamedaCountyWD",921026940,6.2e+17,"1436565334","Reward Offered in Alameda Creek Dam Vandalism Case: ACWD is offering a $10,000 reward for information leading to… http://t.co/XlAyx05Ays",0,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"3","AlamedaCountyWD",921026940,2.81911e+17,"12/20/12 23:54","ACWD is wishing you a happy holiday season!",0,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"4","AlamedaCountyWD",921026940,1.46e+18,"1637619004","Now is the chance to earn your Qualified Water Efficient Landscaper Training Certification for FREE next month in December! Sign up now: 
Evening Series https://t.co/an5v4ySOTk
Morning Series https://t.co/rhMhLldnYS

#SaveOurWater #cawater https://t.co/cXkI3ib3wL",1,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"5","AlamedaCountyWD",921026940,9.19e+17,"1507914634","ACWD Board of Directors Announces Support for the California WaterFix Project: At the October 12 Board meeting,… https://t.co/m6p2EazjDc",1,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"6","AlamedaCountyWD",921026940,1.46e+18,"1635784633","#MondayMotivation - 🤩Join us for a public meeting about current drought conditions, this Wednesday, Nov. 3 at 12 p.m. or 6:30 p.m. via Zoom webinar!  Webinar link: https://t.co/uBOmamU1Mi https://t.co/nKDXhUnW2g #OneSavesWater #cawater https://t.co/AW3Dsi2fq9",1,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"7","AlamedaCountyWD",921026940,1.36e+18,"1612914462","With most of the state in some drought stage, you may hear a lot in the news about water supply concerns but rest assured ACWD is ready for 2021. Stay tuned for future updates as winter weather develops! #ACWDcares🚰👍
#ThereWhenYouNeedIt https://t.co/zwqajAhiqH",0,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"8","AlamedaCountyWD",921026940,1.12434e+18,"5/3/19 16:04","A BIG shoutout to Erick from Operations who noticed a mama duck in distress yesterday. He quickly jumped into action when he saw her ten ducklings trapped in the storm drain! From 🐟rescues to 🦆rescues! 🙌 #fridayfeels #humankindness https://t.co/2ToYnBupZD",0,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"9","AlamedaCountyWD",921026940,1.28e+18,"1593113495","@USDFremont Congratulations Zayaan!",0,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"10","AlamedaCountyWD",921026940,1.21e+18,"1577745255","Add 🔢 these🚰 #WaterWiseGoals to your 🤩 list of New Year’s Resolutions 🎉 for 2020! 🥳
#ACWDcares #NYE2020 #CAwater https://t.co/AXW9VKTiCc",0,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
