,user_id,status_id,created_at,screen_name,text,source,display_text_width,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,quote_count,reply_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,quoted_created_at,quoted_source,quoted_favorite_count,quoted_retweet_count,quoted_user_id,quoted_screen_name,quoted_name,quoted_followers_count,quoted_friends_count,quoted_statuses_count,quoted_location,quoted_description,quoted_verified,retweet_status_id,retweet_text,retweet_created_at,retweet_source,retweet_favorite_count,retweet_retweet_count,retweet_user_id,retweet_screen_name,retweet_name,retweet_followers_count,retweet_friends_count,retweet_statuses_count,retweet_location,retweet_description,retweet_verified,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,status_url,name,location,description,url,protected,followers_count,friends_count,listed_count,statuses_count,favourites_count,account_created_at,verified,profile_url,profile_expanded_url,account_lang,profile_banner_url,profile_background_url,profile_image_url,,Drought,,Tip,Workshop,,Information,Motivation,Skills,,Subsidy,Bill,,Regulations,Behavioral,Incentives
318,245885568,6.95E+17,1454439520,OtayWater,¡Californianos continúan cumpliendo con el mandato de conservación de agua de @JerryBrownGov por el séptimo mes!  https://t.co/ZiMvn79UyO,Twitter Web Client,140,NA,NA,NA,FALSE,TRUE,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""580299709"", ""19418459"")","c(""CaWaterBoards"", ""JerryBrownGov"")",es,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.95E+17,¡Californianos continúan cumpliendo con el mandato de conservación de agua de @JerryBrownGov por el séptimo mes!  https://t.co/ZiMvn79UyO,1454438252,Buffer,2,5,580299709,CaWaterBoards,State Water Board,11470,309,4364,"Sacramento, CA",The California State Water Resources Control Board and the nine Regional Water Quality Control Boards protect water quality and allocate surface water rights.,TRUE,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)",https://twitter.com/OtayWater/status/694595807547248640,Otay Water District,"Spring Valley, CA","Providing exceptional water and sewer service to nearly 226,000 customers in southeastern San Diego County.",https://t.co/y1kqbSpUX2,FALSE,2160,503,73,4316,1561,1296581973,FALSE,https://t.co/y1kqbSpUX2,http://www.otaywater.gov,NA,https://pbs.twimg.com/profile_banners/245885568/1602183589,http://abs.twimg.com/images/themes/theme16/bg.gif,http://pbs.twimg.com/profile_images/1031656819020554240/zDiVZ4pu_normal.jpg,,0,,,,,,,,,,,,1,,
643,602351816,1.07E+18,1544807843,CITYSEM,Little League Registration Info. https://t.co/W1JZWqYUFg,Facebook,56,NA,NA,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,facebook.com/story.php?stor…,https://t.co/W1JZWqYUFg,https://www.facebook.com/story.php?story_fbid=1172753119545330&id=154755818011737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)",https://twitter.com/CITYSEM/status/1073628029665112064,CITY OF SO. EL MONTE,"South El Monte, California","Welcome to the official twitter page of the City of South El Monte, California.
Stay connected with community news and events in the CITY OF ACHIEVEMENT",https://t.co/1HTWl7fJMB,FALSE,2217,401,53,5549,754,1339118373,FALSE,https://t.co/1HTWl7fJMB,https://www.cityofsouthelmonte.org/,NA,https://pbs.twimg.com/profile_banners/602351816/1603118633,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/455858354460442624/q19FX7IP_normal.png,,0,,,,,,,,,,,,,,
13,161468853,1.20E+18,1575493955,COGWaterPower,Make your yard beautiful with permeable surfaces in your landscape that helps rainwater &amp; irrigation pass through and replenish groundwater. https://t.co/8fl789UckU,Twitter Web App,144,NA,NA,NA,FALSE,TRUE,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23999194,saveourwater,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.20E+18,Make your yard beautiful with permeable surfaces in your landscape that helps rainwater &amp; irrigation pass through and replenish groundwater. https://t.co/8fl789UckU,1575492604,Hootsuite Inc.,6,3,23999194,saveourwater,Save Our Water,31515,2542,6028,California,"Save Our Water is a statewide program aimed at helping Californians to reduce everyday water use through conservation ideas, inspiration and tips.",FALSE,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)",https://twitter.com/COGWaterPower/status/1202334909303406592,Glendale Water & Power,"Glendale,CA","Official City of Glendale, CA Water & Power communications only. Report water and power outages and emergencies by calling 818-548-2011.",http://t.co/94EZSp7L7X,FALSE,6938,759,99,4751,291,1277939218,TRUE,http://t.co/94EZSp7L7X,http://www.glendalewaterandpower.com,NA,https://pbs.twimg.com/profile_banners/161468853/1469652972,http://abs.twimg.com/images/themes/theme13/bg.gif,http://pbs.twimg.com/profile_images/1166858664830889984/dULD3Jwp_normal.jpg,,1,,1,,,,,1,,,,,,,
14,2327619312,7.88E+17,1476747592,DWAwater,"DWA customers saved 8% in September. Our goal for long-term is 10-13%. If you still have work to do to #keepsaving, now's the time! https://t.co/bS4kqvHqGq",Twitter Web Client,131,NA,NA,NA,FALSE,FALSE,0,1,NA,NA,keepsaving,NA,NA,NA,NA,http://pbs.twimg.com/media/CvAdn0gVYAAMnZF.png,https://t.co/bS4kqvHqGq,https://twitter.com/DWAwater/status/788162644641329153/photo/1,photo,http://pbs.twimg.com/media/CvAdn0gVYAAMnZF.png,https://t.co/bS4kqvHqGq,https://twitter.com/DWAwater/status/788162644641329153/photo/1,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.twitter.com/1.1/geo/id/fbd6d2f5a4e4a15e.json,California,"California, USA",admin,United States,US,"c(NA, NA)","c(NA, NA)","c(-124.482003, -114.131212, -114.131212, -124.482003, 32.528832, 32.528832, 42.009519, 42.009519)",https://twitter.com/DWAwater/status/788162644641329153,Desert Water Agency,"Palm Springs, CA","Desert Water Agency is a public, non-profit agency and State Water Contractor, serving a 325-square-mile area in the Palm Springs area. Follow/RT not endorsment",http://t.co/vXkP2LfYsk,FALSE,1204,1516,35,2451,975,1391543013,FALSE,http://t.co/vXkP2LfYsk,http://www.dwa.org,NA,https://pbs.twimg.com/profile_banners/2327619312/1492721567,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/430810508329902080/_XM7Wm9l_normal.jpeg,,1,,,,,1,1,,,,,,,1,
16,24053573,8.50E+17,1491432440,CCWD,@CCWD's Los Vaqueros Reservoir was looking lovely yesterday at 90% of capacity. Pumping's resumed and it is filling again. https://t.co/H4eOxdbfeU,Twitter for iPhone,122,NA,24053573,CCWD,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,http://pbs.twimg.com/ext_tw_video_thumb/849755194988519424/pu/img/5BR1oEZGlZKua2Ol.jpg,https://t.co/H4eOxdbfeU,https://twitter.com/CCWD/status/849755362609709057/video/1,photo,http://pbs.twimg.com/ext_tw_video_thumb/849755194988519424/pu/img/5BR1oEZGlZKua2Ol.jpg,https://t.co/H4eOxdbfeU,https://twitter.com/CCWD/status/849755362609709057/video/1,NA,24053573,CCWD,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.twitter.com/1.1/geo/id/8004d2bebcc13e8c.json,Concord,"Concord, CA",city,United States,US,"c(NA, NA)","c(NA, NA)","c(-122.066245, -121.931044, -121.931044, -122.066245, 37.924231, 37.924231, 38.022423, 38.022423)",https://twitter.com/CCWD/status/849755362609709057,Contra Costa Water,"Concord, CA, 94520","Delivering safe, clean water to 500,000 people in central and eastern Contra Costa County.",https://t.co/LCNVDG7Chh,FALSE,3255,288,122,1908,288,1236896499,TRUE,https://t.co/LCNVDG7Chh,http://www.ccwater.com,NA,https://pbs.twimg.com/profile_banners/24053573/1366926618,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1145806277861228544/C8YjqefZ_normal.jpg,,1,,,,,1,,,,,,,,1,
23,1205839339,9.57E+17,1516910090,sbcitywater,#TBT When we learned why local water agencies perform periodic hydrant flushing. https://t.co/496gt6mSAH,Twitter Web Client,123,NA,NA,NA,FALSE,TRUE,0,1,NA,NA,TBT,NA,ow.ly/qLCR30hULwn,https://t.co/496gt6mSAH,http://ow.ly/qLCR30hULwn,NA,NA,NA,NA,NA,NA,NA,NA,617302506,SoCalTapWater,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.57E+17,#TBT When we learned why local water agencies perform periodic hydrant flushing. https://t.co/496gt6mSAH,1516908312,Hootsuite,0,1,617302506,SoCalTapWater,SoCal Tap Water,1152,1624,4133,Southern California,Exploring the Santa Ana River Watershed and how safe water gets to your home every day. A Twitter feed by the Santa Ana Watershed Project Authority (SAWPA).,FALSE,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)",https://twitter.com/sbcitywater/status/956616371235840000,San Bernardino Water,"San Bernardino, California","The San Bernardino Municipal Water Dept. was established on May 8th, 1905 by the Mayor and Common Council of San Bernardino in accordance with the City charter.",https://t.co/Gy310nZGsF,FALSE,898,204,28,706,286,1361475657,FALSE,https://t.co/Gy310nZGsF,http://www.sbmwd.org/,NA,https://pbs.twimg.com/profile_banners/1205839339/1503107135,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/3288388278/93fe89f8835ad80989469f6e85976b87_normal.jpeg,,1,,,,,1,,,,,,,,1,
32,7.46E+17,8.28E+17,1486227920,MarinaCoastH2O,#WaterWise: replacing your irrigated #lawn with low-water-use features = rebates! Just contact us before you start! #Landscaping #SaveWater https://t.co/Z2yi8ta5aS,Hootsuite,139,NA,NA,NA,FALSE,FALSE,0,0,NA,NA,"c(""WaterWise"", ""lawn"", ""Landscaping"", ""SaveWater"")",NA,NA,NA,NA,http://pbs.twimg.com/media/C31iU_PWAAAXkld.jpg,https://t.co/Z2yi8ta5aS,https://twitter.com/MarinaCoastH2O/status/827926021932515328/photo/1,photo,http://pbs.twimg.com/media/C31iU_PWAAAXkld.jpg,https://t.co/Z2yi8ta5aS,https://twitter.com/MarinaCoastH2O/status/827926021932515328/photo/1,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)",https://twitter.com/MarinaCoastH2O/status/827926021932515328,MCWD,"Marina, CA","MCWD provides ratepayers with high quality water, wastewater collection and conservation services at a reasonable cost in Marina and Fort Ord communities.",https://t.co/Vy1piyWpAl,FALSE,192,367,7,427,164,1466793865,FALSE,https://t.co/Vy1piyWpAl,http://www.mcwd.org/,NA,https://pbs.twimg.com/profile_banners/746413686248505344/1483546758,NA,http://pbs.twimg.com/profile_images/753699384320151552/xkzef0-f_normal.jpg,,1,,1,,,,,1,,1,,,,1,1
33,1551505850,7.30E+17,1462820407,SanJuanWtrDist,"Free mulch and free @937JackFM giveaways. @SanJuanWtrDist May 14. #freemulch #gardenlife 

https://t.co/maWv9XIJIX https://t.co/nkoqwx50gA",TweetDeck,114,NA,NA,NA,FALSE,FALSE,0,0,NA,NA,"c(""freemulch"", ""gardenlife"")",NA,sjwd.org/news/#1.16.15,https://t.co/maWv9XIJIX,http://www.sjwd.org/news/#1.16.15,http://pbs.twimg.com/media/ChuQmuMUgAEnV4d.jpg,https://t.co/nkoqwx50gA,https://twitter.com/SanJuanWtrDist/status/729747797918916608/photo/1,photo,http://pbs.twimg.com/media/ChuQmuMUgAEnV4d.jpg,https://t.co/nkoqwx50gA,https://twitter.com/SanJuanWtrDist/status/729747797918916608/photo/1,NA,1551505850,SanJuanWtrDist,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)",https://twitter.com/SanJuanWtrDist/status/729747797918916608,San Juan Water Dist.,"Office in Granite Bay, CA","Providing reliable, high-quality water from Folsom Lake to our 265,000 customers.",http://t.co/WWuQ26KABE,FALSE,377,230,7,1320,1003,1372366603,FALSE,http://t.co/WWuQ26KABE,http://www.sjwd.org,NA,https://pbs.twimg.com/profile_banners/1551505850/1529444854,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/958820648570073089/bq63WrOT_normal.jpg,,1,,1,,,,,1,,1,,,,1,1
40,2334768636,7.71E+17,1472772028,vallecitoswater,Those pictures...wow! Thanks @southcoastwater for showing the beauty of going lawn-less.. #H2LOVE https://t.co/vfsIwa6Jfj,Twitter Web Client,97,NA,NA,NA,TRUE,FALSE,4,0,NA,NA,H2LOVE,NA,twitter.com/southcoastwate…,https://t.co/vfsIwa6Jfj,https://twitter.com/southcoastwater/status/771462399278845953,NA,NA,NA,NA,NA,NA,NA,NA,76791711,southcoastwater,en,7.71E+17,"Here's how to ditch the lawn in favor of beautiful, low-water landscaping. https://t.co/8Yqg9bRlwp https://t.co/AjrdyErOBa",1472765943,SocialFlow,11,9,76791711,southcoastwater,South Coast Water District,20534,17927,3628,"Orange County, CA","Official Twitter for South Coast Water District. We're a government agency serving 35K residents, 1K businesses and 2 million visitors a year. ☎ (949) 499-4555.",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)",https://twitter.com/vallecitoswater/status/771487920809062400,Vallecitos Water 💦,"San Marcos, CA","Water & wastewater specialists, providing exceptional & sustainable services. Tweets only monitored during business hours. After-hours emergency #760-744-0461.",http://t.co/jpzVVWOP5F,FALSE,1279,388,43,4263,4510,1391934374,FALSE,http://t.co/jpzVVWOP5F,http://www.vwd.org,NA,https://pbs.twimg.com/profile_banners/2334768636/1551476808,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/885619217097031680/zkO9uwky_normal.jpg,,1,,,,,1,1,,,,,,,1,
41,2327619312,8.57E+17,1493068677,DWAwater,"Executive Director&amp;amp;#039;s Blog: Drought Emergency Ends, But Many Breakthroughs Endure | ACWA https://t.co/P8cDdsmy6R",Twitter Web Client,139,NA,NA,NA,FALSE,TRUE,0,4,NA,NA,NA,NA,acwa.com/news/water-sup…,https://t.co/P8cDdsmy6R,http://www.acwa.com/news/water-supply-challenges/executive-directors-blog-drought-emergency-ends-many-breakthroughs-endu,NA,NA,NA,NA,NA,NA,NA,NA,37050475,ACWAWater,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.57E+17,"Executive Director&amp;amp;#039;s Blog: Drought Emergency Ends, But Many Breakthroughs Endure | ACWA https://t.co/P8cDdsmy6R",1493068197,Twitter Web Client,3,4,37050475,ACWAWater,ACWA,11922,1476,10011,"Sacramento, CA",ACWA is a statewide association of public agencies whose 440 members are responsible for about 90% of the water delivered in California.,FALSE,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)",https://twitter.com/DWAwater/status/856618237429035009,Desert Water Agency,"Palm Springs, CA","Desert Water Agency is a public, non-profit agency and State Water Contractor, serving a 325-square-mile area in the Palm Springs area. Follow/RT not endorsment",http://t.co/vXkP2LfYsk,FALSE,1204,1516,35,2451,975,1391543013,FALSE,http://t.co/vXkP2LfYsk,http://www.dwa.org,NA,https://pbs.twimg.com/profile_banners/2327619312/1492721567,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/430810508329902080/_XM7Wm9l_normal.jpeg,,1,,,,,1,,,,,,,1,1,
